,position,user,comment,bid,rep,seller
0,1,cuzzdahabrah,"Re: Cars&Bids
Ok",,Reputation Icon9,0
1,2,Cars&Bids,"Re: cuzzdahabrah
you should have already received an email from us with instructions on how to proceed -- we'll keep an eye out for your reply there!",,Reputation Icon31.1k,0
2,3,cuzzdahabrah,"Re: Cars&Bids
Thank you i'll be waiting for contact.",,Reputation Icon9,0
3,4,Cars&Bids,"Thank you for participating, everyone! Unfortunately, we weren’t quite able to close the gap on this 750i but we will be in contact with the high bidder, @cuzzdahabrah, and the seller to make a deal!",,Reputation Icon31.1k,0
4,5,,"Reserve not met, bid to $28,750",,,0
5,6,eshum,"Oh wow, thought this was heading to RNM",,Reputation Icon42,0
6,7,cuzzdahabrah,,"$28,750",Reputation Icon9,0
7,8,bpopb,,"$28,500",Reputation Icon5,0
8,9,cuzzdahabrah,,"$28,250",Reputation Icon9,0
9,10,leeami,,"$28,000",Reputation Icon4,0
10,11,zkaisy,,"$26,650",Reputation Icon78,0
11,12,cuzzdahabrah,,"$26,400",Reputation Icon9,0
12,13,zkaisy,,"$26,149",Reputation Icon78,0
13,14,bpopb,,"$25,899",Reputation Icon5,0
14,15,zkaisy,,"$25,500",Reputation Icon78,0
15,16,cuzzdahabrah,,"$25,250",Reputation Icon9,0
16,17,bpopb,,"$25,000",Reputation Icon5,0
17,18,zkaisy,,"$24,750",Reputation Icon78,0
18,19,cuzzdahabrah,,"$24,500",Reputation Icon9,0
19,20,zkaisy,,"$24,250",Reputation Icon78,0
20,21,bpopb,,"$24,000",Reputation Icon5,0
21,22,cuzzdahabrah,,"$22,500",Reputation Icon9,0
22,23,zkaisy,,"$22,250",Reputation Icon78,0
23,24,bpopb,,"$22,000",Reputation Icon5,0
24,25,zkaisy,,"$19,750",Reputation Icon78,0
25,26,cuzzdahabrah,,"$19,500",Reputation Icon9,0
26,27,zkaisy,,"$19,250",Reputation Icon78,0
27,28,bpopb,,"$19,000",Reputation Icon5,0
28,29,zkaisy,,"$17,750",Reputation Icon78,0
29,30,cuzzdahabrah,,"$17,500",Reputation Icon9,0
30,31,zkaisy,,"$17,000",Reputation Icon78,0
31,32,iansu,,"$16,750",Reputation Icon15,0
32,33,RivaSJU,,"$16,500",Reputation Icon2,0
33,34,zkaisy,,"$16,250",Reputation Icon78,0
34,35,cuzzdahabrah,,"$16,000",Reputation Icon9,0
35,36,zkaisy,,"$15,750",Reputation Icon78,0
36,37,RivaSJU,,"$15,500",Reputation Icon2,0
37,38,zkaisy,,"$15,250",Reputation Icon78,0
38,39,sunsetmarina,,"$15,000",Reputation Icon24,0
39,40,zkaisy,,"$14,850",Reputation Icon78,0
40,41,JSpec,,"$14,750",Reputation Icon4,0
41,42,cuzzdahabrah,,"$14,600",Reputation Icon9,0
42,43,MichaelJimenez,,"$14,500",Reputation Icon2,0
43,44,sunsetmarina,,"$14,400",Reputation Icon24,0
44,45,zkaisy,,"$14,300",Reputation Icon78,0
45,46,sunsetmarina,,"$14,200",Reputation Icon24,0
46,47,cuzzdahabrah,,"$14,100",Reputation Icon9,0
