,position,user,comment,bid,rep,seller
0,1,tonyvw,Congratulations. Great car that you will absolutely love.,,,0
1,2,Dunesguy,Congratulations to the seller and the buyer!,,Reputation Icon11,0
2,3,syun1,Congratulations @Johnny509Utah,,Reputation Icon18,0
3,4,,"Sold to Johnny509Utah for $16,501",,,0
4,5,Johnny509Utah,,"$16,501",Reputation Icon2,0
5,6,totiboat777,,"$16,000",Reputation Icon2,0
6,7,AgentMikeD,,"$15,750",Reputation Icon2,0
7,8,cy0208,,"$15,500",Reputation Icon3,0
8,9,Ralston,,"$15,250",Reputation Icon4,0
9,10,cy0208,,"$15,000",Reputation Icon3,0
10,11,Ralston,,"$14,900",Reputation Icon4,0
11,12,cy0208,,"$14,800",Reputation Icon3,0
12,13,Ralston,,"$14,100",Reputation Icon4,0
13,14,totiboat777,,"$14,000",Reputation Icon2,0
14,15,hishmeh65,,"$13,600",Reputation Icon416,0
15,16,BBobby,,"$13,500",Reputation Icon71,0
16,17,PiechsSwanSong,"MacLane is phenomenal.
132 W Lancaster Ave
Downingtown, PA 19335",,Reputation Icon9,1
17,18,hishmeh65,,"$13,100",Reputation Icon416,0
18,19,BBobby,,"$13,000",Reputation Icon71,0
19,20,AgentMikeD,,"$12,000",Reputation Icon2,0
20,21,BBobby,,"$11,200",Reputation Icon71,0
21,22,hishmeh65,,"$11,100",Reputation Icon416,0
22,23,BBobby,,"$11,000",Reputation Icon71,0
23,24,PiechsSwanSong,The glass does have more soundproofing than most other glass. I have also seen video of a man trying to break the glass with considerably more difficulty than normal. The W-12 glass also had a tinting process that made cell phone reception very difficult,,Reputation Icon9,1
24,25,iluvtoshift2,The bullet proof glass is definitely a cool touch to this car! GLWTA,,Reputation Icon11,0
25,26,jontfman1,"Wow, this example truly has all the right maintenance work done. The oil cooler pipe is an inevitable few-thousand dollar fix.
This will be your best bet for trouble free phaeton enjoyment",,Reputation Icon39,0
26,27,hishmeh65,,"$10,600",Reputation Icon416,0
27,28,SunsetRider,,"$10,500",Reputation Icon95,0
28,29,hishmeh65,Thank you for clarifying and answering all the questions coming at you PiechsSwangSong .,,Reputation Icon416,0
29,30,hishmeh65,,"$10,100",Reputation Icon416,0
30,31,SunsetRider,,"$10,000",Reputation Icon95,0
31,32,Ralston,,"$9,850",Reputation Icon4,0
