,position,user,comment,bid,rep,seller
0,1,MM3846,"wow, good deal. crazy how the prices on these went up $10k then right back down to where they were in 2019 in 16-18 months.",,Reputation Icon37,0
1,2,CChiusolo,Great bidding - she’s a beaut! Best of luck with your LR4 and thanks again to the seller! 👍🏼👍🏼,,,0
2,3,,"Sold to GHK for $13,250",,,0
3,4,GHK,,"$13,250",Reputation Icon13,0
4,5,MotorcarsOfTheMainLine,Here is a driving video for your review. Thanks again for your consideration. https://www.youtube.com/watch?v=iYxxA1poZuc,,Reputation Icon638,1
5,6,MotorcarsOfTheMainLine,"As we approach the end of the auction, I am super excited to see who will end up with this terrific LR4. Being the last year of the naturally aspirated V8, it is certainly a desirable vehicle and the rare exterior color and interior trim add to the appeal. I'll be here ready to answer any last minute questions. Thank you all for your consideration and good luck!",,Reputation Icon638,1
6,7,92Defender,"Re: MotorcarsOfTheMainLine
100% agree on the aesthetic value of lower settings, does look good. GLWS",,Reputation Icon262,0
7,8,MotorcarsOfTheMainLine,"Re: 92Defender
Thanks. I think going forward we will have something added in the original description that states that the photos are done with the suspension in the lowest setting. We feel that most of the vehicles that have an adjustable suspension are more photogenic in the lowest setting which is why we do it that way.",,Reputation Icon638,1
8,9,philthyphil,,"$13,000",Reputation Icon1.3k,0
9,10,willb,,"$11,050",Reputation Icon5,0
10,11,92Defender,"Re: MotorcarsOfTheMainLine
Thankyou, that makes perfect sense",,Reputation Icon262,0
11,12,Cars&Bids,Hi all! We’ve just added photos of this LR4 showing the suspension in the various height settings. They are now shown in the gallery; happy bidding!,,Reputation Icon31.1k,0
12,13,MotorcarsOfTheMainLine,"Re: 92Defender
ALL of the photos of the exterior of the vehicle--both indoor and outdoor--were all taken in the lowest suspension setting.",,Reputation Icon638,1
13,14,HallbergonThePark,"Re: 92Defender
it does look like that to me as well.",,Reputation Icon252,0
14,15,92Defender,"Just to confirm, the main listing picture shows the vehicle on the lowest setting for suspension height?",,Reputation Icon262,0
15,16,Fastandfurious,,"$10,850",Reputation Icon57,0
16,17,Fastandfurious,"Re: MotorcarsOfTheMainLine
Thanks.",,Reputation Icon57,0
17,18,MotorcarsOfTheMainLine,"Re: Fastandfurious
Please find the attached photos. I posted these for a couple other people that requested them. There are zero issues with the suspension and it functions properly as it should in all three heights. I am going to ask @carsandbids to all them to the photo gallery as well. Thank you and good luck bidding.",,Reputation Icon638,1
18,19,MotorcarsOfTheMainLine,"Re: BrettKavanaugh
Thank you for the questions. The leather/vinyl on the passenger side second row seat has some previous repair. Though it isn't exactly how I would repair it, the work was done so that it will hold for the long term. I squeezed and pushed the seat to check for thenstrength of the repair and it held up very well. Please see the attached close ups and a photo of the other seat next to it for reference. Thank you and good luck bidding.",,Reputation Icon638,1
19,20,Fastandfurious,"Can you quickly upload 3 pictures of the car sitting at Normal Height, Access Height and Off Road height. This will help me with bidding and will alleviate some of the concerns that others have with the cars height.",,Reputation Icon57,0
20,21,CChiusolo,,"$10,750",,0
21,22,AlexTriumph,,"$10,520",,0
